Date,CMG,FPT,VGI,ELC,TTN
9/25/2020,"28,073","35,686","27,600","5,818","7,800"
9/24/2020,"28,466","35,475","27,600","5,818","7,700"
9/23/2020,"28,466","35,896","27,800","5,917","7,800"
9/22/2020,"28,073","36,037","27,100","5,949","7,700"
9/21/2020,"28,073","35,967","27,400","5,999","7,800"
9/18/2020,"27,601","35,967","27,100","6,105","7,700"
9/17/2020,"27,680","35,124","27,100","6,195","7,800"
9/16/2020,"28,191","35,475","27,300","6,081","7,900"
9/15/2020,"28,624","35,124","27,300","5,859","8,000"
9/14/2020,"28,702","34,632","27,300","5,868","8,000"
9/11/2020,"28,466","34,527","27,100","5,900","8,100"
9/10/2020,"27,601","34,562","27,100","6,007","8,100"
9/9/2020,"27,916","34,562","27,000","5,900","8,300"
9/8/2020,"27,916","34,772","27,100","5,818","9,300"
9/7/2020,"27,523","34,070","27,100","5,736","9,200"
9/4/2020,"27,444","35,124","27,800","5,687","9,200"
9/3/2020,"28,152","35,405","28,000","5,712","9,200"
9/1/2020,"27,995","35,053","28,000","5,614","9,400"
8/31/2020,"27,523","34,772","27,900","5,810","9,300"
8/28/2020,"27,759","35,053","27,200","5,433","9,400"
8/27/2020,"28,427","35,018","27,100","5,081","8,700"
8/26/2020,"26,579","34,000","27,300","4,753","8,400"
8/25/2020,"25,635","34,316","27,500","4,802","8,400"
8/24/2020,"26,343","34,035","27,600","4,860","8,400"
8/21/2020,"26,029","33,297","26,900","4,786","8,300"
8/20/2020,"25,557","33,051","26,700","4,794","8,400"
8/19/2020,"24,535","32,911","26,700","4,958","8,300"
8/18/2020,"23,827","32,911","26,600","4,876","8,300"
8/17/2020,"23,905","33,016","26,900","4,606","8,200"
8/14/2020,"24,141","32,876","26,900","4,384","8,400"
8/13/2020,"24,299","32,979","26,500","4,253","7,800"
8/12/2020,"24,456","32,669","26,400","4,253","7,800"
8/11/2020,"24,456","32,326","26,300","4,294","7,600"
8/10/2020,"24,613","32,463","26,500","4,302","7,700"
8/7/2020,"23,984","32,394","26,000","4,343","7,600"
8/6/2020,"23,984","32,188","26,000","4,163","7,600"
8/5/2020,"24,063","32,326","26,300","4,171","7,700"
8/4/2020,"23,905","32,016","26,100","4,212","7,700"
8/3/2020,"22,805","31,569","25,500","4,261","7,600"
7/31/2020,"22,490","30,606","24,700","4,032","7,400"
7/30/2020,"22,805","31,053","25,200","3,770","7,400"
7/29/2020,"22,411","30,640","24,900","3,688","7,100"
7/28/2020,"22,805","31,431","26,100","3,925","7,600"
7/27/2020,"21,468","30,405","24,100","3,852","7,400"
7/24/2020,"22,411","31,936","26,800","4,138","7,900"
7/23/2020,"23,827","33,223","28,100","4,319","8,100"
7/22/2020,"24,063","32,980","28,300","4,425","8,200"
7/21/2020,"24,063","33,258","28,900","4,425","8,100"
7/20/2020,"24,456","32,980","29,000","4,540","7,900"
7/17/2020,"23,670","33,467","29,100","4,630","7,900"
7/16/2020,"23,198","33,815","28,600","4,630","7,900"
7/15/2020,"23,316","33,815","28,700","4,647","8,100"
7/14/2020,"23,198","33,780","28,400","4,630","8,000"
7/13/2020,"23,198","33,849","28,700","4,655","8,000"
7/10/2020,"23,355","33,258","28,500","4,671","8,000"
7/9/2020,"23,355","33,641","29,300","4,671","8,100"
7/8/2020,"23,040","33,188","29,300","4,655","8,000"
7/7/2020,"23,748","33,015","28,200","4,745","8,100"
7/6/2020,"23,788","32,562","28,400","4,720","8,200"
7/3/2020,"23,748","32,180","27,700","4,802","7,800"
7/2/2020,"24,495","32,110","27,900","4,778","7,700"
7/1/2020,"24,377","32,145","27,600","4,810","7,700"
6/30/2020,"24,417","31,762","27,000","4,687","7,700"
6/29/2020,"24,220","32,040","27,000","4,687","7,800"
6/26/2020,"24,456","32,597","27,900","4,794","7,800"
6/25/2020,"23,748","32,562","27,900","4,794","7,800"
6/24/2020,"24,141","32,841","28,000","4,810","7,900"
6/23/2020,"24,377","33,084","28,600","4,802","7,900"
6/22/2020,"24,141","32,701","28,900","4,827","7,900"
6/19/2020,"24,141","32,701","28,700","4,671","8,000"
6/18/2020,"23,512","32,423","27,800","4,712","7,800"
6/17/2020,"22,687","32,249","27,800","4,876","7,700"
6/16/2020,"22,490","32,423","28,200","5,040","7,900"
6/15/2020,"22,411","32,006","27,100","5,040","7,800"
6/12/2020,"22,805","32,701","28,500","5,204","7,900"
6/11/2020,"22,254","32,006","28,100","4,917","8,100"
6/10/2020,"23,905","33,954","30,500","4,884","8,200"
6/9/2020,"24,770","34,058","30,800","4,835","8,100"
6/8/2020,"23,709","34,336","31,400","4,589","8,200"
6/5/2020,"22,175","33,884","30,800","4,294","8,200"
6/4/2020,"22,175","33,676","30,000","4,270","8,200"
6/3/2020,"21,940","33,849","30,000","4,261","8,400"
6/2/2020,"21,822","33,397","30,100","4,278","8,200"
6/1/2020,"21,900","33,606","30,700","4,278","8,500"
5/29/2020,"21,900","33,362","29,600","4,327","8,200"
5/28/2020,"21,940","33,397","29,600","4,327","8,300"
5/27/2020,"21,900","33,397","29,600","4,376","8,200"
5/26/2020,"22,097","33,954","30,200","4,417","8,200"
5/25/2020,"22,175","33,710","30,200","4,335","8,200"
5/22/2020,"22,018","33,710","29,800","4,302","8,000"
5/21/2020,"22,215","34,302","30,000","4,343","8,200"
5/20/2020,"22,215","34,023","30,700","4,294","7,800"
5/19/2020,"22,411","34,267","28,100","4,384","7,900"
5/18/2020,"22,411","33,641","28,600","4,351","7,800"
5/15/2020,"22,805","33,397","27,200","4,319","7,800"
5/14/2020,"22,726","33,884","27,200","4,343","7,900"
5/13/2020,"23,119","34,336","27,700","4,392","7,800"
5/12/2020,"22,805","32,387","28,000","4,466","7,600"
5/11/2020,"22,372","32,149","27,900","4,425","7,700"
5/8/2020,"22,490","31,970","27,500","4,179","7,700"
5/7/2020,"22,726","31,851","27,900","4,138","7,700"
5/6/2020,"22,215","31,494","26,400","4,122","7,600"
5/5/2020,"22,215","30,303","25,600","4,237","7,600"
5/4/2020,"22,254","30,065","25,700","4,343","7,700"
4/29/2020,"22,529","30,244","25,800","4,311","7,800"
4/28/2020,"22,411","30,184","25,800","4,253","7,900"
4/27/2020,"22,569","30,184","26,100","4,261","8,000"
4/24/2020,"22,962","30,363","26,200","4,245","8,000"
4/23/2020,"22,569","30,363","25,600","4,302","8,000"
4/22/2020,"22,018","30,422","25,700","4,270","7,900"
4/21/2020,"21,743","29,351","24,400","4,384","7,800"
4/20/2020,"23,355","30,541","26,300","4,294","8,600"
4/17/2020,"23,198","30,482","26,400","4,016","8,100"
4/16/2020,"22,608","29,946","26,300","3,852","7,600"
4/15/2020,"21,782","29,827","25,900","3,843","7,700"
4/14/2020,"21,153","29,470","25,400","3,688","7,600"
4/13/2020,"20,839","27,684","22,300","3,688","7,800"
4/10/2020,"20,839","27,624","21,900","3,745","7,600"
4/9/2020,"20,839","27,892","22,500","3,811","7,500"
4/8/2020,"20,249","27,892","22,400","3,720","7,300"
4/7/2020,"21,153","28,160","22,600","3,606","7,400"
4/6/2020,"20,052","28,279","22,300","3,557","7,400"
4/3/2020,"18,873","26,553","20,800","3,598","7,300"
4/1/2020,"17,929","25,183","20,100","3,425","7,300"
3/31/2020,"17,693","24,469","19,400","3,409","7,200"
3/30/2020,"18,086","24,052","19,300","3,425","7,400"
3/27/2020,"18,244","25,660","20,000","3,680","7,800"
3/26/2020,"18,244","26,314","20,400","3,647","7,900"
3/25/2020,"18,008","27,386","21,800","3,770","8,000"
3/24/2020,"16,907","26,493","20,400","3,524","7,400"
3/23/2020,"16,907","26,434","19,000","3,507","7,400"
3/20/2020,"18,165","28,398","22,000","3,770","7,900"
3/19/2020,"18,244","28,398","21,800","3,770","7,500"
3/18/2020,"18,244","28,815","22,400","3,884","7,800"
3/17/2020,"18,322","28,874","22,100","3,770","7,900"
3/16/2020,"18,676","28,339","21,900","3,688","7,600"
3/13/2020,"18,715","28,666","21,800","3,786","7,700"
3/12/2020,"19,934","28,636","22,300","4,065","7,600"
3/11/2020,"21,428","30,244","24,500","4,368","7,800"
3/10/2020,"23,040","30,780","24,800","4,556","8,000"
3/9/2020,"22,529","29,946","23,700","4,507","7,600"
3/6/2020,"24,220","32,149","27,500","4,843","8,600"
3/5/2020,"24,299","32,506","27,500","5,040","8,700"
3/4/2020,"24,377","33,042","27,300","5,040","8,700"
3/3/2020,"24,456","33,280","27,600","4,761","8,700"
3/2/2020,"23,905","33,161","26,900","4,737","8,400"
2/28/2020,"23,905","32,804","27,300","4,835","8,600"
2/27/2020,"24,141","33,340","27,900","5,081","9,300"
2/26/2020,"23,591","32,744","27,900","4,925","9,000"
2/25/2020,"24,141","32,149","27,800","5,007","9,100"
2/24/2020,"24,141","31,256","26,100","5,318","8,900"
2/21/2020,"25,950","32,566","29,200","5,712","9,000"
2/20/2020,"25,950","33,221","30,000","5,736","8,000"
2/19/2020,"25,242","33,161","30,100","5,892","8,000"
2/18/2020,"24,928","33,340","28,700","6,228","7,700"
2/17/2020,"24,770","32,268","29,400","6,310","7,900"
2/14/2020,"25,006","32,447","28,300","5,900","8,300"
2/13/2020,"23,591","32,328","28,200","5,515","8,100"
2/12/2020,"23,905","32,208","27,900","5,515","7,400"
2/11/2020,"24,063","31,911","27,900","5,433","7,200"
2/10/2020,"24,141","31,315","25,300","5,327","7,100"
2/7/2020,"24,535","31,732","25,600","5,368","7,200"
2/6/2020,"24,377","31,911","25,100","5,327","7,200"
2/5/2020,"23,630","30,958","24,600","5,491","7,200"
2/4/2020,"24,259","30,839","24,200","5,556","7,200"
2/3/2020,"23,512","30,661","23,600","5,573","7,200"
1/31/2020,"25,164","30,958","25,000","5,548","7,300"
1/30/2020,"26,265","32,566","25,500","5,548","7,600"
1/22/2020,"27,051","33,637","26,600","5,515","7,300"
1/21/2020,"26,422","33,042","25,800","5,540","7,300"
1/20/2020,"27,130","34,173","24,200","5,556","7,300"
1/17/2020,"27,130","34,292","24,100","5,507","7,300"
1/16/2020,"27,208","34,530","24,500","5,589","7,300"
1/15/2020,"27,365","33,935","24,200","5,581","7,500"
1/14/2020,"27,208","33,935","23,700","5,589","7,400"
1/13/2020,"27,405","33,994","22,700","5,507","7,500"
1/10/2020,"27,523","34,233","23,100","5,638","7,400"
1/9/2020,"27,523","34,292","23,200","5,564","7,500"
1/8/2020,"28,152","33,816","23,200","5,327","7,700"
1/7/2020,"28,309","34,590","24,500","5,318","7,800"
1/6/2020,"28,309","33,935","24,600","5,245","7,500"
1/3/2020,"28,152","34,292","25,000","5,204","7,800"
1/2/2020,"28,230","34,888","25,300","5,081","7,800"
