Date,CMG,FPT,VGI,ELC,TTN
12/31/2020,"30,785","41,516","33,500","7,613","10,800"
12/30/2020,"29,731","40,814","33,300","7,556","10,800"
12/29/2020,"29,813","41,165","33,400","7,293","11,000"
12/28/2020,"29,853","40,673","33,400","6,884","11,000"
12/25/2020,"28,476","40,462","33,700","6,957","10,600"
12/24/2020,"28,354","40,041","33,100","6,802","10,000"
12/23/2020,"26,734","40,392","34,000","7,113","10,300"
12/22/2020,"26,288","40,814","35,300","7,105","10,100"
12/21/2020,"26,288","40,392","33,200","7,146","9,700"
12/18/2020,"26,167","39,971","32,900","6,966","9,600"
12/17/2020,"26,248","39,690","32,600","6,744","9,500"
12/16/2020,"26,491","40,111","32,600","6,310","9,600"
12/15/2020,"26,329","39,830","32,900","6,064","9,700"
12/14/2020,"26,491","40,182","33,500","6,138","9,400"
12/11/2020,"26,613","40,041","33,500","6,089","9,200"
12/10/2020,"26,410","39,690","32,700","5,982","9,100"
12/9/2020,"26,613","40,392","32,200","6,269","9,500"
12/8/2020,"26,734","39,479","32,100","6,163","9,400"
12/7/2020,"26,937","39,128","32,500","6,154","9,800"
12/4/2020,"26,937","39,128","32,100","5,982","9,700"
12/3/2020,"26,491","39,058","32,300","6,048","9,200"
12/2/2020,"26,086","39,058","32,700","5,884","8,800"
12/1/2020,"26,451","38,777","31,400","5,654","8,700"
11/30/2020,"26,653","38,917","30,900","5,712","8,700"
11/27/2020,"26,815","39,479","31,300","5,736","8,900"
11/26/2020,"26,896","39,128","30,700","5,622","8,800"
11/25/2020,"27,058","38,777","30,700","5,622","8,800"
11/24/2020,"27,220","39,058","32,000","5,687","8,900"
11/23/2020,"27,220","39,268","31,500","5,851","8,900"
11/20/2020,"26,815","38,777","29,700","6,031","8,700"
11/19/2020,"26,540","38,706","28,000","5,671","8,700"
11/18/2020,"26,304","37,934","27,700","5,302","8,700"
11/17/2020,"26,540","37,934","28,000","5,327","9,000"
11/16/2020,"26,579","37,442","27,600","5,327","8,000"
11/13/2020,"26,933","37,793","28,000","5,368","7,900"
11/12/2020,"27,051","37,582","28,100","5,310","7,900"
11/11/2020,"26,894","37,231","28,300","5,368","7,900"
11/10/2020,"26,933","37,231","28,200","5,368","7,900"
11/9/2020,"26,697","37,512","28,700","5,368","7,800"
11/6/2020,"26,500","36,810","27,500","5,327","7,900"
11/5/2020,"26,461","36,529","27,700","5,351","7,900"
11/4/2020,"26,461","37,231","27,800","5,400","7,900"
11/3/2020,"26,383","37,091","27,900","5,409","7,800"
11/2/2020,"26,304","36,318","28,000","5,171","7,700"
10/30/2020,"25,871","36,177","27,600","5,163","7,700"
10/29/2020,"25,871","35,756","26,900","5,196","7,700"
10/28/2020,"26,029","35,615","27,000","5,204","7,800"
10/27/2020,"26,343","36,599","28,200","5,564","7,900"
10/26/2020,"26,579","37,091","28,600","5,564","8,000"
10/23/2020,"26,697","37,863","29,200","5,564","8,100"
10/22/2020,"26,736","37,934","28,600","5,564","8,100"
10/21/2020,"26,894","37,091","27,800","5,597","7,800"
10/20/2020,"26,972","37,372","27,500","5,589","7,800"
10/19/2020,"26,972","37,442","27,400","5,409","7,800"
10/16/2020,"26,736","37,372","27,600","5,425","7,700"
10/15/2020,"26,776","35,967","27,600","5,433","7,800"
10/14/2020,"26,500","35,826","27,700","5,458","7,700"
10/13/2020,"26,736","35,615","27,400","5,474","7,700"
10/12/2020,"26,579","35,756","27,400","5,450","7,700"
10/9/2020,"27,208","35,686","27,700","5,589","7,700"
10/8/2020,"27,208","35,896","27,900","5,663","7,800"
10/7/2020,"27,248","35,405","28,100","5,704","7,700"
10/6/2020,"27,208","35,475","28,400","5,769","7,800"
10/5/2020,"27,208","35,475","28,200","5,818","7,800"
10/2/2020,"27,523","35,334","28,000","5,548","7,800"
10/1/2020,"27,523","35,686","28,800","5,654","7,900"
9/30/2020,"27,287","35,124","27,800","5,736","7,900"
9/29/2020,"27,208","35,264","27,000","5,753","7,900"
9/28/2020,"28,073","35,896","27,500","5,786","8,000"
