Date,CMG,FPT,VGI,ELC,TTN
12/31/2024,"49,250","152,500","91,700","26,900","23,300"
12/30/2024,"49,100","150,500","92,000","26,950","22,900"
12/27/2024,"48,559","149,600","90,100","26,950","22,000"
12/26/2024,"49,910","149,800","93,700","27,900","21,500"
12/25/2024,"50,360","150,800","94,800","27,950","21,700"
12/24/2024,"49,550","150,400","95,000","27,900","22,800"
12/23/2024,"50,270","149,800","95,300","28,000","22,400"
12/20/2024,"56,500","149,500","95,900","27,950","22,200"
12/19/2024,"56,500","148,100","94,100","27,750","21,500"
12/18/2024,"55,600","148,700","90,900","27,400","19,900"
12/17/2024,"55,000","148,000","90,800","27,200","19,900"
12/16/2024,"55,700","149,900","90,300","27,100","19,200"
12/13/2024,"54,200","149,500","89,600","27,050","18,400"
12/12/2024,"55,700","150,200","89,700","27,450","18,800"
12/11/2024,"57,000","150,500","92,200","27,450","19,200"
12/10/2024,"56,600","149,500","92,500","26,600","18,300"
12/9/2024,"56,700","147,000","92,000","26,600","18,100"
12/6/2024,"57,900","149,500","90,400","26,600","18,300"
12/5/2024,"57,000","148,500","88,200","26,900","17,900"
12/4/2024,"56,500","143,500","91,700","26,100","18,000"
12/3/2024,"58,300","145,000","91,300","26,800","18,500"
12/2/2024,"56,300","142,200","93,100","26,450","18,200"
11/29/2024,"56,800","144,300","91,000","26,200","18,600"
11/28/2024,"54,400","139,400","88,000","25,600","17,900"
11/27/2024,"54,000","138,900","84,400","25,500","17,900"
11/26/2024,"53,300","135,200","82,000","25,450","16,700"
11/25/2024,"52,800","133,900","82,600","25,200","16,700"
11/22/2024,"53,300","133,900","82,900","25,200","16,800"
11/21/2024,"54,000","133,000","82,300","25,150","16,900"
11/20/2024,"53,800","132,400","77,800","25,100","16,200"
11/19/2024,"53,700","130,000","79,800","24,750","16,500"
11/18/2024,"57,700","134,000","84,900","25,800","18,000"
11/15/2024,"57,900","133,900","85,100","26,500","17,300"
11/14/2024,"57,000","136,000","81,800","27,000","17,400"
11/13/2024,"58,800","137,800","86,000","26,900","18,400"
11/12/2024,"58,400","136,800","87,300","26,250","17,800"
11/11/2024,"57,400","138,300","83,300","26,400","18,400"
11/8/2024,"53,700","135,800","82,800","26,350","18,100"
11/7/2024,"53,000","135,100","78,400","26,150","16,000"
11/6/2024,"51,200","134,600","72,800","25,700","15,300"
11/5/2024,"50,500","132,600","72,700","25,450","15,400"
11/4/2024,"51,300","132,800","70,900","25,250","15,100"
11/1/2024,"50,600","134,600","69,300","25,100","14,800"
10/31/2024,"51,900","135,900","71,500","25,000","15,300"
10/30/2024,"52,700","135,900","72,300","24,950","15,900"
10/29/2024,"52,800","135,400","73,400","24,150","15,600"
10/28/2024,"51,300","134,900","69,000","23,750","14,700"
10/25/2024,"50,700","134,000","66,400","23,850","14,300"
10/24/2024,"50,600","134,300","65,200","23,850","14,300"
10/23/2024,"51,400","134,200","65,300","24,150","15,000"
10/22/2024,"51,700","133,100","65,000","24,200","14,900"
10/21/2024,"53,400","135,500","66,200","24,700","15,300"
10/18/2024,"52,100","137,000","67,100","24,900","13,800"
10/17/2024,"52,700","137,000","67,500","24,800","14,000"
10/16/2024,"52,000","136,300","66,900","24,600","13,800"
10/15/2024,"52,000","137,000","66,800","24,650","14,000"
10/14/2024,"53,100","137,600","69,300","24,950","14,200"
10/11/2024,"53,000","139,600","67,500","25,150","14,200"
10/10/2024,"53,500","141,700","66,400","25,100","14,400"
10/9/2024,"51,000","135,400","66,200","24,450","14,000"
10/8/2024,"49,700","133,800","63,600","24,200","13,800"
10/7/2024,"50,200","134,100","64,000","23,950","13,800"
10/4/2024,"50,200","134,100","64,700","24,450","14,000"
10/3/2024,"50,400","134,000","64,000","24,900","14,100"
10/2/2024,"51,100","135,400","64,700","25,150","14,400"
10/1/2024,"51,900","135,900","65,600","25,300","14,500"
9/30/2024,"50,800","134,500","64,300","24,800","14,400"
9/27/2024,"51,000","134,200","65,000","24,500","14,600"
9/26/2024,"51,500","134,300","66,000","24,450","14,600"
9/25/2024,"51,500","134,800","66,500","24,400","14,600"
9/24/2024,"51,800","134,500","67,000","24,400","14,800"
9/23/2024,"51,100","134,000","65,500","24,250","14,600"
9/20/2024,"52,100","135,300","66,500","24,600","14,700"
9/19/2024,"52,200","135,200","67,900","24,450","15,000"
9/18/2024,"52,500","134,600","67,500","24,500","15,000"
9/17/2024,"50,900","132,900","61,800","23,800","14,400"
9/16/2024,"50,400","131,100","60,900","23,800","14,100"
9/13/2024,"51,100","133,000","62,100","24,000","14,500"
9/12/2024,"50,800","132,300","62,500","23,550","14,400"
9/11/2024,"50,300","130,600","61,800","23,400","14,200"
9/10/2024,"49,500","130,000","62,200","23,150","14,100"
9/9/2024,"48,200","131,300","62,700","23,300","14,400"
9/6/2024,"51,800","132,000","63,500","23,800","14,600"
9/5/2024,"49,300","130,600","64,000","23,500","14,600"
9/4/2024,"52,800","133,000","65,900","24,000","15,000"
8/30/2024,"49,800","134,800","67,600","24,000","15,300"
8/29/2024,"53,500","133,160","67,600","23,650","15,200"
8/28/2024,"52,500","133,240","68,000","23,700","15,600"
8/27/2024,"49,150","132,500","66,300","23,900","15,600"
8/26/2024,"50,100","132,110","67,400","24,250","15,800"
8/23/2024,"53,800","132,960","68,400","24,900","16,000"
8/22/2024,"52,600","133,980","69,300","24,450","16,300"
8/21/2024,"56,000","133,500","70,000","24,200","16,100"
8/20/2024,"53,100","131,500","68,000","24,000","16,200"
8/19/2024,"52,200","130,360","68,200","23,850","16,300"
8/16/2024,"53,200","130,600","67,800","23,400","15,700"
8/15/2024,"49,750","128,700","63,800","22,200","14,900"
8/14/2024,"50,900","126,420","67,100","23,000","15,500"
8/13/2024,"55,400","128,600","67,500","23,750","15,500"
8/12/2024,"50,000","129,580","63,400","23,750","15,000"
8/9/2024,"48,700","124,700","63,300","23,400","14,700"
8/8/2024,"48,700","121,680","60,900","22,550","14,300"
8/7/2024,"51,000","122,000","63,000","22,500","14,800"
8/6/2024,"50,100","120,690","62,800","22,400","14,600"
8/5/2024,"48,650","118,600","60,500","21,850","14,000"
8/2/2024,"52,300","123,200","64,200","23,400","15,600"
8/1/2024,"51,200","124,800","63,000","22,500","15,400"
7/31/2024,"55,000","128,600","72,500","24,050","15,900"
7/30/2024,"55,400","128,000","76,700","24,100","16,400"
7/29/2024,"56,600","129,000","75,400","24,300","17,200"
7/26/2024,"56,500","128,000","72,700","23,550","16,700"
7/25/2024,"53,400","125,000","73,100","23,600","15,700"
7/24/2024,"54,500","126,000","72,500","23,500","15,000"
7/23/2024,"54,100","125,500","72,400","22,600","14,000"
7/22/2024,"54,100","124,100","82,800","23,100","14,300"
7/19/2024,"56,000","126,000","92,500","23,500","15,500"
7/18/2024,"57,200","127,900","95,900","24,100","15,200"
7/17/2024,"56,200","131,900","94,600","23,250","16,300"
7/16/2024,"60,000","134,000","102,300","25,000","17,700"
7/15/2024,"62,100","132,700","107,800","25,350","19,600"
7/12/2024,"63,800","133,800","108,600","25,700","19,900"
7/11/2024,"65,200","133,000","110,600","26,000","20,400"
7/10/2024,"66,200","134,000","111,000","25,800","20,200"
7/9/2024,"64,500","137,500","107,900","25,600","19,800"
7/8/2024,"63,800","139,600","107,300","24,800","20,600"
7/5/2024,"64,200","138,700","107,900","25,100","20,800"
7/4/2024,"64,400","135,800","109,000","25,500","20,600"
7/3/2024,"62,800","131,000","105,100","24,800","19,400"
7/2/2024,"63,200","128,000","106,200","24,800","19,700"
7/1/2024,"62,300","128,600","104,400","24,650","20,100"
6/28/2024,"61,000","130,500","103,300","24,150","19,500"
6/27/2024,"63,400","132,800","106,800","25,800","20,300"
6/26/2024,"64,800","131,800","106,900","25,800","22,900"
6/25/2024,"63,700","130,000","104,800","26,450","22,300"
6/24/2024,"66,400","132,100","104,000","27,200","24,800"
6/21/2024,"70,600","136,100","109,700","29,050","24,200"
6/20/2024,"69,900","133,300","111,000","28,100","21,300"
6/19/2024,"69,900","131,500","108,900","28,400","19,700"
6/18/2024,"68,400","128,000","105,900","27,800","19,600"
6/17/2024,"67,900","128,800","107,000","28,400","19,900"
6/14/2024,"70,000","131,000","100,000","29,200","19,500"
6/13/2024,"70,000","130,000","91,000","28,700","19,100"
6/12/2024,"69,600","132,000","89,700","28,200","19,100"
6/11/2024,"68,600","146,500","88,500","28,350","19,500"
6/10/2024,"69,500","144,000","89,500","27,200","19,100"
6/7/2024,"68,400","142,000","90,300","27,300","19,500"
6/6/2024,"68,400","139,600","90,100","27,500","18,600"
6/5/2024,"67,200","140,100","92,000","28,000","16,700"
6/4/2024,"68,500","139,100","91,600","28,450","15,000"
6/3/2024,"65,100","136,900","88,400","28,400","13,200"
5/31/2024,"60,900","134,600","87,300","27,800","12,400"
5/30/2024,"59,200","135,000","87,400","27,900","12,500"
5/29/2024,"60,000","135,700","87,000","27,500","12,900"
5/28/2024,"62,100","137,000","90,500","28,000","13,100"
5/27/2024,"59,000","132,800","87,800","27,600","12,900"
5/24/2024,"59,700","131,900","86,400","27,450","12,900"
5/23/2024,"63,600","137,500","92,000","28,600","13,469"
5/22/2024,"61,200","138,000","94,200","27,300","12,521"
5/21/2024,"61,500","136,000","91,900","27,550","12,426"
5/20/2024,"59,000","133,000","92,600","27,100","12,710"
5/17/2024,"61,300","134,500","89,000","26,800","12,615"
5/16/2024,"60,600","135,400","81,200","26,800","12,900"
5/15/2024,"63,000","134,100","77,500","27,100","13,185"
5/14/2024,"62,400","130,500","73,000","27,200","13,564"
5/13/2024,"58,400","129,700","71,400","25,700","13,754"
5/10/2024,"58,900","131,000","69,600","25,350","12,900"
5/9/2024,"55,400","130,300","67,600","23,700","12,141"
5/8/2024,"51,800","131,000","70,000","24,000","12,805"
5/7/2024,"48,450","131,300","69,000","23,050","11,477"
5/6/2024,"46,850","127,600","66,400","22,000","10,244"
5/3/2024,"45,100","125,900","66,000","21,600","9,865"
5/2/2024,"46,150","127,300","68,800","21,800","9,770"
4/26/2024,"44,650","123,200","67,600","21,950","9,770"
4/25/2024,"44,600","123,200","63,300","21,400","9,865"
4/24/2024,"45,300","120,100","61,400","21,400","9,580"
4/23/2024,"42,800","112,300","57,800","20,000","9,770"
4/22/2024,"42,350","110,300","53,400","21,200","9,770"
4/19/2024,"41,550","109,000","52,200","21,000","9,580"
4/17/2024,"44,150","111,800","51,800","21,200","9,960"
4/16/2024,"45,850","113,000","52,000","21,000","9,770"
4/15/2024,"45,850","111,600","49,600","21,400","10,434"
4/12/2024,"49,300","115,500","53,000","22,800","10,529"
4/11/2024,"48,100","114,900","52,200","22,750","10,434"
4/10/2024,"48,900","113,800","49,300","22,600","10,434"
4/9/2024,"48,000","113,000","49,000","22,850","10,339"
4/8/2024,"45,050","112,600","48,500","22,250","10,434"
4/5/2024,"47,300","113,700","54,800","23,150","10,149"
4/4/2024,"45,950","114,000","54,400","23,800","9,675"
4/3/2024,"42,950","115,100","53,400","24,300","9,296"
4/2/2024,"40,150","117,000","49,100","24,200","9,296"
4/1/2024,"40,200","116,800","45,000","24,150","9,201"
3/29/2024,"39,950","116,500","44,200","23,650","9,201"
3/28/2024,"40,450","117,100","42,000","23,300","9,485"
3/27/2024,"40,150","115,200","40,000","23,600","9,296"
3/26/2024,"40,150","115,000","37,100","22,850","8,916"
3/25/2024,"39,300","114,000","35,900","23,050","8,632"
3/22/2024,"40,000","114,900","36,900","23,450","8,632"
3/21/2024,"39,800","116,200","37,000","23,600","8,537"
3/20/2024,"40,050","114,500","35,800","23,700","8,537"
3/19/2024,"39,700","112,000","35,500","23,900","8,632"
3/18/2024,"40,950","113,000","35,000","23,400","8,537"
3/15/2024,"41,500","116,000","37,600","23,850","8,821"
3/14/2024,"41,650","117,000","38,400","23,200","8,347"
3/13/2024,"41,950","117,000","39,100","24,250","8,252"
3/12/2024,"40,600","111,900","39,600","23,850","8,157"
3/11/2024,"39,200","110,000","38,500","22,300","8,157"
3/8/2024,"39,800","110,000","36,100","21,800","8,157"
3/7/2024,"40,350","111,300","38,200","21,650","8,157"
3/6/2024,"41,000","109,100","39,000","21,650","8,157"
3/5/2024,"41,250","110,700","38,900","22,000","8,157"
3/4/2024,"40,800","111,400","35,400","22,400","8,252"
3/1/2024,"41,200","110,800","34,100","22,600","8,157"
2/29/2024,"39,950","109,000","32,900","21,700","8,157"
2/28/2024,"40,000","108,500","32,500","22,200","8,157"
2/27/2024,"40,200","107,900","32,300","22,350","8,347"
2/26/2024,"40,000","108,000","30,100","21,600","8,062"
2/23/2024,"39,900","103,900","28,700","20,900","8,062"
2/22/2024,"40,100","104,600","28,700","21,400","7,968"
2/21/2024,"40,200","105,900","28,300","21,500","7,968"
2/20/2024,"40,450","104,300","28,800","21,150","8,062"
2/19/2024,"40,500","105,000","28,000","21,550","7,968"
2/16/2024,"40,450","105,100","27,500","21,700","8,062"
2/15/2024,"40,700","104,000","27,600","21,550","8,157"
2/7/2024,"40,750","104,900","27,500","21,850","8,062"
2/6/2024,"40,950","104,100","27,700","21,750","8,062"
2/5/2024,"41,850","103,500","27,700","21,850","7,873"
2/2/2024,"42,000","102,000","27,600","21,700","7,873"
2/1/2024,"40,900","99,900","28,100","21,650","7,873"
1/31/2024,"39,900","95,700","27,700","20,250","8,062"
1/30/2024,"40,000","95,600","26,900","20,200","8,062"
1/29/2024,"39,750","95,900","27,000","20,100","8,062"
1/26/2024,"39,900","95,900","26,900","19,400","8,062"
1/25/2024,"39,200","95,100","27,000","19,100","8,062"
1/24/2024,"39,250","95,000","27,100","19,150","7,873"
1/23/2024,"39,250","95,600","27,400","19,050","7,968"
1/22/2024,"40,000","96,400","27,200","19,050","7,873"
1/19/2024,"40,000","96,300","26,700","19,300","7,873"
1/18/2024,"39,500","95,600","26,600","19,350","7,588"
1/17/2024,"40,000","95,700","26,600","19,100","7,588"
1/16/2024,"40,500","95,700","26,700","19,100","7,683"
1/15/2024,"40,200","95,400","26,100","19,000","7,588"
1/12/2024,"40,500","94,700","26,000","19,600","7,588"
1/11/2024,"40,850","95,000","26,500","20,750","7,588"
1/10/2024,"41,350","94,700","26,500","20,500","7,588"
1/9/2024,"41,200","96,600","26,900","20,800","7,683"
1/8/2024,"41,450","97,300","26,800","20,900","7,588"
1/5/2024,"43,000","97,400","26,600","20,950","7,493"
1/4/2024,"43,850","97,200","26,900","21,100","7,588"
1/3/2024,"44,150","96,300","27,300","21,250","7,588"
1/2/2024,"44,100","95,900","25,800","20,850","7,493"
12/29/2023,"43,500","96,100","25,800","20,850","7,588"
12/28/2023,"41,200","96,600","25,600","20,450","7,683"
12/27/2023,"41,000","96,900","25,700","20,550","7,588"
12/26/2023,"41,000","97,200","25,900","20,700","7,588"
12/25/2023,"40,400","96,000","25,800","19,900","7,588"
12/22/2023,"39,600","94,600","25,500","19,700","7,493"
12/21/2023,"39,150","95,100","25,100","19,000","7,493"
12/20/2023,"38,900","94,700","25,200","18,950","7,493"
12/19/2023,"38,900","94,600","25,000","18,750","7,399"
12/18/2023,"39,100","94,000","24,600","18,650","7,493"
12/15/2023,"39,000","96,200","25,200","18,800","7,588"
12/14/2023,"38,900","96,200","25,500","19,150","7,588"
12/13/2023,"38,900","95,200","25,500","18,900","7,493"
12/12/2023,"39,000","96,800","26,100","19,350","7,588"
12/11/2023,"38,850","95,000","26,400","19,350","7,493"
12/8/2023,"38,950","94,200","26,300","19,500","7,304"
12/7/2023,"38,600","94,300","26,500","19,600","7,493"
12/6/2023,"39,000","95,000","27,300","19,550","7,588"
