Date,BID,VCB,CTG,MBB,ACB,STB
12/31/2020,"37,910","75,793","26,129","14,068","17,984","16,900"
12/30/2020,"37,395","75,793","25,978","14,006","17,792","16,800"
12/29/2020,"37,629","76,800","25,827","14,037","17,728","16,700"
12/28/2020,"36,928","75,871","25,940","14,098","17,792","16,750"
12/25/2020,"36,267","75,561","26,243","14,129","17,888","16,950"
12/24/2020,"35,411","75,329","25,676","13,945","17,472","16,500"
12/23/2020,"36,267","75,484","26,091","14,006","17,984","16,700"
12/22/2020,"36,461","75,793","26,318","14,190","18,400","17,150"
12/21/2020,"36,928","76,567","26,356","14,221","18,528","17,000"
12/18/2020,"36,578","75,948","26,167","14,129","18,176","17,000"
12/17/2020,"36,111","73,721","25,789","13,517","18,112","16,600"
12/16/2020,"36,889","76,716","26,394","13,609","18,080","16,600"
12/15/2020,"35,878","75,103","26,096","13,150","17,920","15,950"
12/14/2020,"36,189","76,716","26,394","13,364","18,048","15,950"
12/11/2020,"35,644","74,643","25,909","13,150","18,048","15,800"
12/10/2020,"34,204","74,643","25,350","12,875","17,888","15,550"
12/9/2020,"34,088","74,105","25,723","13,089","18,272","15,900"
12/8/2020,"33,231","71,494","25,723","13,058","17,472","15,850"
12/7/2020,"33,465","71,494","25,872","12,783","17,408","15,550"
12/4/2020,"32,414","69,958","25,872","12,814","17,408","15,600"
12/3/2020,"32,375","71,801","25,201","12,844","17,536","15,650"
12/2/2020,"32,298","71,801","25,164","13,058","17,472","15,400"
12/1/2020,"32,453","70,649","25,276","12,753","17,472","15,450"
11/30/2020,"32,453","71,417","24,977","12,447","17,472","14,650"
11/27/2020,"33,037","72,569","25,387","12,233","17,472","14,500"
11/26/2020,"33,154","72,185","25,387","11,927","17,408","14,500"
11/25/2020,"32,142","71,801","24,605","11,896","17,408","14,350"
11/24/2020,"31,675","70,957","24,418","11,835","17,408","14,500"
11/23/2020,"31,986","70,342","24,530","11,743","16,768","14,600"
11/20/2020,"32,064","71,033","24,754","11,805","16,960","14,150"
11/19/2020,"31,441","69,267","24,828","11,927","16,896","14,200"
11/18/2020,"31,169","67,270","24,418","12,019","16,256","14,200"
11/17/2020,"31,364","67,270","24,232","11,958","16,192","13,850"
11/16/2020,"31,052","65,888","23,784","11,652","16,256","13,650"
11/13/2020,"31,364","66,733","23,822","11,805","16,064","13,900"
11/12/2020,"30,819","66,349","23,113","11,438","15,936","13,700"
11/11/2020,"30,663","65,197","22,741","11,162","16,320","13,600"
11/10/2020,"30,663","65,351","22,815","11,071","16,000","13,600"
11/9/2020,"30,546","65,658","23,076","11,162","15,680","13,700"
11/6/2020,"30,391","65,274","22,554","11,009","15,424","13,350"
11/5/2020,"30,391","65,274","22,554","11,193","15,296","13,350"
