Date,BID,VCB,CTG,MBB,ACB,STB
12/31/2024,"37,550","91,200","37,800","25,100","25,800","36,900"
12/30/2024,"38,250","92,000","38,900","24,800","25,400","37,850"
12/27/2024,"39,150","92,200","38,800","25,050","25,550","37,400"
12/26/2024,"39,000","92,100","38,200","24,900","25,550","37,100"
12/25/2024,"38,650","92,400","38,200","24,450","25,450","36,250"
12/24/2024,"38,100","92,100","36,200","23,900","25,000","34,700"
12/23/2024,"38,600","92,400","36,250","24,050","24,900","34,500"
12/20/2024,"38,388","92,500","36,150","24,000","24,800","33,850"
12/19/2024,"38,388","92,400","36,200","23,850","24,800","33,900"
12/18/2024,"38,719","93,100","36,250","24,200","25,150","34,200"
12/17/2024,"38,512","93,000","36,250","24,150","25,200","34,100"
12/16/2024,"38,636","93,100","36,250","24,100","25,150","34,100"
12/13/2024,"46,400","93,100","36,350","24,250","25,150","34,000"
12/12/2024,"46,600","93,500","36,300","24,300","25,300","33,800"
12/11/2024,"46,600","93,300","36,350","24,300","25,400","33,650"
12/10/2024,"46,750","94,500","36,350","24,250","25,350","33,500"
12/9/2024,"46,700","95,300","36,450","24,400","25,500","34,000"
12/6/2024,"46,600","94,200","36,250","24,350","25,650","33,800"
12/5/2024,"46,000","94,000","36,400","24,550","25,700","33,950"
12/4/2024,"45,150","93,500","35,300","23,850","25,050","32,400"
12/3/2024,"46,050","93,000","35,900","23,950","25,000","32,600"
12/2/2024,"46,500","94,200","35,850","24,150","25,150","33,100"
11/29/2024,"46,750","93,300","35,750","24,150","25,200","33,300"
11/28/2024,"46,100","92,600","35,400","24,000","25,150","33,150"
11/27/2024,"46,350","92,700","35,150","24,100","25,050","33,200"
11/26/2024,"46,250","92,400","35,300","24,100","25,000","33,200"
11/25/2024,"45,550","91,300","35,100","23,950","24,900","32,850"
11/22/2024,"45,700","90,600","35,000","24,000","24,950","32,650"
11/21/2024,"45,350","90,500","35,000","24,000","24,850","33,050"
11/20/2024,"45,000","90,300","34,000","23,550","24,500","32,400"
11/19/2024,"44,600","90,000","33,350","23,150","24,300","31,950"
11/18/2024,"44,450","91,000","33,300","23,400","24,500","32,600"
11/15/2024,"44,700","91,700","33,100","23,500","24,400","32,400"
11/14/2024,"45,500","92,000","33,600","23,800","24,550","32,500"
11/13/2024,"46,150","92,500","34,350","24,150","24,900","33,400"
11/12/2024,"46,300","91,900","34,500","24,100","24,850","33,550"
11/11/2024,"46,500","92,000","34,950","24,300","24,850","33,800"
11/8/2024,"47,400","92,200","35,000","24,550","24,900","35,500"
11/7/2024,"47,600","93,200","35,600","24,800","25,100","35,600"
11/6/2024,"48,050","92,900","35,900","24,850","25,100","35,500"
11/5/2024,"47,400","92,600","35,050","24,450","24,750","34,850"
11/4/2024,"47,700","92,500","35,700","24,450","24,750","34,900"
11/1/2024,"47,750","93,500","35,600","24,600","24,900","35,000"
10/31/2024,"47,750","93,600","35,700","25,050","25,400","35,200"
10/30/2024,"47,700","91,700","34,750","25,000","25,100","34,800"
10/29/2024,"47,550","92,000","34,950","25,000","25,200","34,050"
10/28/2024,"47,500","92,000","34,700","24,800","25,150","33,750"
10/25/2024,"47,500","91,800","34,600","24,650","24,900","33,450"
10/24/2024,"48,000","91,700","34,850","24,700","25,000","33,400"
10/23/2024,"48,400","91,500","35,050","25,250","25,400","35,800"
10/22/2024,"48,750","91,400","35,000","25,250","25,400","35,000"
10/21/2024,"49,650","92,000","35,500","25,550","25,800","35,250"
10/18/2024,"50,300","92,400","36,250","25,750","26,100","35,550"
10/17/2024,"50,300","92,200","36,550","25,900","26,150","34,600"
10/16/2024,"49,850","91,500","36,300","25,500","25,750","33,600"
10/15/2024,"50,000","91,400","36,150","25,650","25,850","33,700"
10/14/2024,"49,400","91,400","36,050","25,850","25,950","33,900"
10/11/2024,"49,400","91,500","36,250","25,550","26,100","33,800"
10/10/2024,"49,750","91,900","36,150","25,500","26,200","33,600"
10/9/2024,"49,450","91,000","36,100","25,600","26,250","34,150"
10/8/2024,"48,900","91,500","35,750","25,200","25,500","33,700"
10/7/2024,"49,050","92,000","35,800","25,200","25,450","33,800"
10/4/2024,"49,200","92,300","35,600","25,100","25,400","33,100"
10/3/2024,"49,500","92,600","36,200","25,500","25,700","33,750"
10/2/2024,"49,800","92,700","36,000","25,700","25,800","33,550"
10/1/2024,"49,700","92,000","36,500","25,650","25,750","33,500"
9/30/2024,"49,700","92,000","36,950","25,700","25,750","33,350"
9/27/2024,"50,100","92,500","37,000","25,700","25,900","33,600"
9/26/2024,"50,000","92,500","36,400","25,700","26,000","32,750"
9/25/2024,"50,000","92,800","36,000","25,750","26,200","32,700"
9/24/2024,"49,250","91,200","36,050","25,250","25,800","31,850"
9/23/2024,"48,700","90,900","35,900","24,800","25,650","30,800"
9/20/2024,"49,050","90,600","36,000","24,750","25,650","30,850"
9/19/2024,"49,250","91,500","36,000","24,400","24,800","30,500"
9/18/2024,"49,050","91,000","35,700","24,400","24,650","30,250"
9/17/2024,"48,700","90,500","34,950","24,250","24,500","29,850"
9/16/2024,"47,750","88,900","34,650","23,900","24,150","29,550"
9/13/2024,"48,200","89,900","34,900","23,900","24,400","29,800"
9/12/2024,"48,350","89,500","35,000","24,000","24,450","29,700"
9/11/2024,"48,300","88,400","34,950","23,900","24,150","29,600"
9/10/2024,"48,500","89,000","34,950","23,750","24,250","29,200"
9/9/2024,"49,050","90,200","35,450","23,800","24,450","29,500"
9/6/2024,"49,300","90,050","35,030","24,000","24,600","29,900"
